filename,seller_name,seller_tax_id,client_name,client_tax_id,invoice_number,invoice_date,net_worth,vat,gross_worth,_ocr_source,_ocr_matched_key
batch1-0331.jpg,,921-82-1053,,965-99-1263,no,,,,,csv,batch1-0331
batch1-0332.jpg,,904-77-6503,,956-94-0439,no,,,,,csv,batch1-0332
batch1-0336.jpg,,957-87-4031,,993-86-3706,no,,,,,csv,batch1-0336
batch1-0335.jpg,,964-92-2746,,939-82-6262,no,,,,,csv,batch1-0335.jpg
batch1-0333.jpg,,954-73-2478,,988-96-5706,no,,,,,csv,batch1-0333.jpg
batch1-0334.jpg,,964-84-8594,,909-91-4017,no,,,,,csv,batch1-0334
batch1-0337.jpg,,983-70-0913,,981-88-6259,no,,,,,csv,batch1-0337.jpg
batch1-0338.jpg,,918-95-6591,,998-92-7755,no,,,,,csv,batch1-0338.jpg
batch1-0340.jpg,,995-99-6193,,999-86-4010,no,,,,,csv,batch1-0340.jpg
batch1-0339.jpg,,986-88-3758,,967-80-5679,no,,,,,csv,batch1-0339.jpg
batch1-0342.jpg,,960-75-3286,,992-88-6386,no,,,,,csv,batch1-0342
batch1-0341.jpg,,942-76-9532,,918-70-1520,no,,,,,csv,batch1-0341.jpg
batch1-0344.jpg,,991-83-4896,,936-85-0485,no,,,,,csv,batch1-0344
batch1-0346.jpg,,907-77-8712,,934-84-4841,no,,,,,csv,batch1-0346.jpg
batch1-0345.jpg,,952-76-3987,,992-84-7640,no,,,,,csv,batch1-0345
batch1-0343.jpg,,930-72-1637,,952-75-5780,no,,,,,csv,batch1-0343
batch1-0347.jpg,,975-87-2875,,981-79-3397,no,,,,,csv,batch1-0347
batch1-0351.jpg,,938-78-7124,,924-90-5219,no,,,,,csv,batch1-0351.jpg
batch1-0349.jpg,,934-99-4537,,944-87-7634,no,,,,,csv,batch1-0349.jpg
batch1-0348.jpg,,938-92-9047,,997-98-1436,no,,,,,csv,batch1-0348.jpg
batch1-0352.jpg,,984-86-2338,,906-94-4177,no,,,,,csv,batch1-0352
batch1-0354.jpg,,996-99-0521,,977-75-8747,no,,,,,csv,batch1-0354.jpg
batch1-0356.jpg,,909-90-0060,,926-74-8186,no,,,,,csv,batch1-0356.jpg
batch1-0350.jpg,,991-85-2472,,925-92-0610,no,,,,,csv,batch1-0350.jpg
batch1-0355.jpg,,977-99-2004,,907-98-7260,no,,,,,csv,batch1-0355
batch1-0353.jpg,,979-84-7639,,988-88-5388,no,,,,,csv,batch1-0353
batch1-0357.jpg,,925-75-9384,,968-92-5785,no,,,,,csv,batch1-0357.jpg
batch1-0358.jpg,,935-91-0274,,968-87-5481,no,,,,,csv,batch1-0358.jpg
batch1-0359.jpg,,974-75-0354,,943-83-6136,no,,,,,csv,batch1-0359
batch1-0363.jpg,,956-84-2083,,923-84-5244,no,,,,1950.0,csv,batch1-0363
batch1-0364.jpg,,972-90-5571,,988-84-2670,no,,,,,csv,batch1-0364
batch1-0360.jpg,,913-81-7541,,952-95-0332,no,,,,,csv,batch1-0360.jpg
batch1-0361.jpg,,937-77-5283,,907-73-8031,no,,,,,csv,batch1-0361
batch1-0365.jpg,,952-96-9876,,932-73-0621,no,,,,,csv,batch1-0365
batch1-0362.jpg,,927-81-6187,,915-85-0288,no,,,,,csv,batch1-0362
batch1-0367.jpg,,908-94-9799,,932-85-2181,no,,,,,csv,batch1-0367
batch1-0369.jpg,,909-72-0896,,911-83-0636,no,,,,,csv,batch1-0369
batch1-0371.jpg,,988-97-7797,,982-72-2795,no,,,,,csv,batch1-0371
batch1-0372.jpg,,953-74-2648,,943-86-1330,no,,,,,csv,batch1-0372
batch1-0366.jpg,,964-85-1307,,963-76-2257,no,,,,,csv,batch1-0366
batch1-0368.jpg,,964-80-0842,,905-94-4635,no,,,,,csv,batch1-0368.jpg
batch1-0370.jpg,,998-77-7262,,997-74-8995,no,,,,,csv,batch1-0370.jpg
batch1-0373.jpg,,902-82-9449,,910-94-4040,no,,,,,csv,batch1-0373.jpg
batch1-0377.jpg,,928-96-4400,,939-96-7563,no,,,,,csv,batch1-0377
batch1-0378.jpg,,917-88-4853,,954-81-3871,no,,,,,csv,batch1-0378
batch1-0376.jpg,,929-73-9404,,963-87-9848,no,,,,,csv,batch1-0376
batch1-0375.jpg,,943-88-9123,,924-73-4934,no,,,,,csv,batch1-0375.jpg
batch1-0374.jpg,,968-79-4900,,943-81-3637,no,,,,,csv,batch1-0374.jpg
batch1-0380.jpg,,924-83-8802,,999-80-5625,no,,,,,csv,batch1-0380
batch1-0379.jpg,,989-83-0730,,948-94-1459,no,,,,,csv,batch1-0379
